title|url|rss|issn|publisher|subjects
3D Printing in Medicine|https://threedmedprint.biomedcentral.com/|https://paperity.org/rss/?q=journal_pid:53948|2365-6271|Springer International Publishing|3D Printing in Medicine, Imaging / Radiology, Surgery, Biomedical Engineering and Bioengineering, Biomaterials
3D Research|https://link.springer.com/journal/13319|https://paperity.org/rss/?q=journal_pid:249196|-|3D Display Research Center|3D Research, Signal, Image and Speech Processing, Computer Imaging, Vision, Pattern Recognition and Graphics, Optics, Lasers, Photonics, Optical Devices
452ºF|http://www.452f.com/index.php|https://paperity.org/rss/?q=journal_pid:138421|2013-3294|Asociación Cultural 452ºF; Universitat de Barcelona|literary theory;comparative literature
4OR|https://link.springer.com/journal/10288|https://paperity.org/rss/?q=journal_pid:153578|1619-4500, 1614-2411|Springer Berlin Heidelberg|Operations Research/Decision Theory
A Common Thread|http://scholar.valpo.edu/act/|https://paperity.org/rss/?q=journal_pid:236834|-|Valparaiso University|-
A Cor das Letras|http://periodicos.uefs.br/index.php/acordasletras/index|https://paperity.org/rss/?q=journal_pid:53067|1415-8973|Universidade Estadual de Feira de Santana|literature;linguistics;language teaching;language learning
A&P Continuidad|http://www.ayp.fapyd.unr.edu.ar/|https://paperity.org/rss/?q=journal_pid:331176|2362-6097, 2362-6089|Universidad Nacional de Rosario|architecture;urbanism
A+Arch Design International Journal of Architecture and Design|https://dergipark.org.tr/en/pub/aarch|https://paperity.org/rss/?q=journal_pid:253395|2149-5904|-|-
A+BE: Architecture and the Built Environment|http://abe.tudelft.nl/|https://paperity.org/rss/?q=journal_pid:105174|2214-7233, 2212-3202|Delft University of Technology|architecture;urbanism;architectural engineering;housing;built environment
The AAPS Journal|https://link.springer.com/journal/12248|https://paperity.org/rss/?q=journal_pid:73311|1550-7416|Springer International Publishing|The AAPS Journal, Pharmacology/Toxicology, Biochemistry, general, Biotechnology, Pharmacy
AAPS Open|https://aapsopen.springeropen.com/|https://paperity.org/rss/?q=journal_pid:226466|2364-9534|Springer International Publishing|AAPS Open, Pharmaceutical Sciences/Technology, Pharmacology/Toxicology
AAPS PharmSci|https://www.ncbi.nlm.nih.gov/pubmed/|https://paperity.org/rss/?q=journal_pid:51368|1522-1059|American Association of Pharmaceutical Scientists|-
AAPS PharmSciTech|https://link.springer.com/journal/12249|https://paperity.org/rss/?q=journal_pid:102064|1530-9932|Springer International Publishing|AAPS PharmSciTech, Pharmacology/Toxicology, Biotechnology, Biochemistry, general, Pharmacy
Abanico veterinario|http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2448-6132&lng=en|https://paperity.org/rss/?q=journal_pid:120161|2448-6132, 2007-428X|-|-
Abant İzzet Baysal Üniversitesi Eğitim Fakültesi Dergisi|http://efdergi.ibu.edu.tr|https://paperity.org/rss/?q=journal_pid:20004|2148-4929, 1303-0493|Abant İzzet Baysal Üniversitesi|sociology;learning;teaching;pedagogy;education
Abant İzzet Baysal Üniversitesi İlahiyat Fakültesi Dergisi|https://dergipark.org.tr/en/pub/abuifd|https://paperity.org/rss/?q=journal_pid:48757|2148-0494|-|-
Abant Kültürel Araştırmalar Dergisi|http://dergipark.gov.tr/akader|https://paperity.org/rss/?q=journal_pid:106263|2528-9403|Bolu Abant Izzet Baysal University|cultural studies;social sciences;media studies;communication studies
ABC: časopis urgentne medicine|https://scindeks.ceon.rs/journaldetails.aspx?issn=1451-1053|https://paperity.org/rss/?q=journal_pid:281739|2560-3922, 1451-1053|Serbian Medical Society, Department of Emergency Medicine, Belgrade |emergency medicial service;emergency medicine;pre-hospital medicine
ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo)|http://www.scielo.br/scielo.php?script=sci_serial&pid=0102-6720&lng=en&nrm=iso|https://paperity.org/rss/?q=journal_pid:96325|0102-6720, 2317-6326|Colégio Brasileiro de Cirurgia Digestiva|gastroenterology;digestive system diseases;intestinal diseases
ABCS Health Sciences|http://www.portalnepas.org.br/abcshs|https://paperity.org/rss/?q=journal_pid:116239|2357-8114, 2318-4965|Faculdade de Medicina do ABC|health sciences;medicine;public health;physical therapy;nursing;nutrition
Abdominal Imaging|http://link.springer.com/journal/261|https://paperity.org/rss/?q=journal_pid:130817|0942-8925, 1432-0509|Springer US|Imaging / Radiology
ABE Journal|http://abe.revues.org|https://paperity.org/rss/?q=journal_pid:389112|2275-6639|Institut National d'Histoire de l'Art|history of art;heritage;architecture
Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg|https://link.springer.com/journal/12188|https://paperity.org/rss/?q=journal_pid:159570|1865-8784|Springer Berlin Heidelberg|Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg, Mathematics, general, Algebra, Differential Geometry, Number Theory, Topology, Geometry
aBIOTECH|https://link.springer.com/journal/42994|https://paperity.org/rss/?q=journal_pid:14064|2662-1738|Springer Singapore|aBIOTECH, Plant Sciences, Agriculture, Plant Breeding/Biotechnology, Plant Genetics and Genomics, Bioinformatics
ABO : Interactive Journal for Women in the Arts 1640-1830|http://scholarcommons.usf.edu/abo/|https://paperity.org/rss/?q=journal_pid:3443|2157-7129|Aphra Behn Society|cultural studies;literature;visual arts;eighteenth century;women
Aboriginal Policy Studies|http://ejournals.library.ualberta.ca/index.php/aps/index|https://paperity.org/rss/?q=journal_pid:290720|1923-3299|University of Alberta|native studies;indigenous people;indigenous policy;canada
AboutOpen|https://journals.aboutscience.eu/index.php/aboutopen|https://paperity.org/rss/?q=journal_pid:520047|2465-2628|AboutScience Srl|medicine
Abra|http://www.revistas.una.ac.cr/index.php/abra|https://paperity.org/rss/?q=journal_pid:208060|2215-2997, 1409-3928|Universidad Nacional|social sciences;economics;anthropology;sociology;history
Abriu: Estudos de Textualidade do Brasil, Galicia e Portugal|http://revistes.ub.edu/index.php/Abriu|https://paperity.org/rss/?q=journal_pid:418451|2014-8534, 2014-8526|Universitat de Barcelona|Brazilian studies;Galician studies;Portuguese studies;literature;films;scenic arts
Abstract and Applied Analysis|https://www.hindawi.com/journals/aaa|https://paperity.org/rss/?q=journal_pid:168152|1687-0409, 1085-3375|Hindawi Limited|mathematics;applied analysis;abstract analysis
Academia Eğitim Araştırmaları Dergisi|https://dergipark.org.tr/en/pub/egitim|https://paperity.org/rss/?q=journal_pid:135016|2619-9351|-|-
Academia y Virtualidad|http://revistas.unimilitar.edu.co/index.php/ravi/index|https://paperity.org/rss/?q=journal_pid:436732|2011-0731|Universidad Militar Nueva Granada|virtual education
Academia: Архитектура и строительство|http://aac.raasn.ru/|https://paperity.org/rss/?q=journal_pid:409366|2077-9038|Russian Academy of Architecture and Construction Sciences (RAACS)|arts;historical sciences;archeology;engineering sciences;construction;architecture
Academic Forensic Pathology|https://www.ncbi.nlm.nih.gov/pubmed/|https://paperity.org/rss/?q=journal_pid:80121|1925-3621|SAGE Publications|-
Academic Journal of Economic Studies|http://www.ajes.ro/|https://paperity.org/rss/?q=journal_pid:68671|2457-5836, 2393-4913|Editura Universitara|economics;business
Academic Journal of Modern Philology|https://ajmp.uni.wroc.pl/|https://paperity.org/rss/?q=journal_pid:239223|2299-7164|Komisja Nauk Filologicznych, Polska Akademia Nauk Oddział we Wrocławiu / Kolegium Międzyobszarowych Studiów Indywidualnych Uniwersytetu Wrocławskiego|-
Academic Knowledge|https://dergipark.org.tr/en/pub/ak|https://paperity.org/rss/?q=journal_pid:169532|2667-6362, 2667-6362|-|-
Academic Pathology|http://apc.sagepub.com/|https://paperity.org/rss/?q=journal_pid:108874|2374-2895|SAGE Publishing|academic pathology;coordinated care;pathology;patient informatics;laboratory medicine;clinical partnerships
Academic Perspectives in Higher Education|http://digitalcommons.odu.edu/aphe/|https://paperity.org/rss/?q=journal_pid:32196|2380-1131|Old Dominion University|-
Academic Psychiatry|https://link.springer.com/journal/40596|https://paperity.org/rss/?q=journal_pid:10659|1545-7230|Springer International Publishing|Academic Psychiatry, Psychiatry, Medical Education
Academic Questions|https://link.springer.com/journal/12129|https://paperity.org/rss/?q=journal_pid:188323|0895-4852, 1936-4709|Springer US|Higher Education
Academic Review of Humanities and Social Sciences|https://dergipark.org.tr/en/pub/arhuss|https://paperity.org/rss/?q=journal_pid:228855|2636-7645, 2636-7645|-|-
aCAdemicS: The newsletter of the SWOSU College of Arts & Sciences|http://dc.swosu.edu/academics/|https://paperity.org/rss/?q=journal_pid:166276|-|Southwestern Oklahoma State University|-
Academicus : International Scientific Journal|http://www.academicus.edu.al|https://paperity.org/rss/?q=journal_pid:295904|2309-1088, 2079-3715|Academicus|economy;social sciences;law;communication;political sciences
Academo (Asunción)|http://scielo.iics.una.py/scielo.php?script=sci_serial&pid=2414-8938&lng=en|https://paperity.org/rss/?q=journal_pid:122342|2414-8938|-|-
Academy Journal of Educational Sciences|https://dergipark.org.tr/en/pub/aebd|https://paperity.org/rss/?q=journal_pid:163769|2602-3342|-|-
Acarological Studies|https://dergipark.org.tr/en/pub/acarolstud|https://paperity.org/rss/?q=journal_pid:192522|2667-5684|-|-
ACC Journal|https://acc-ern.tul.cz/en/acc-journal|https://paperity.org/rss/?q=journal_pid:251290|2571-0613, 1803-9782|Technical University of Liberec|natural sciences;economics;management;social sciences
Access to Justice in Eastern Europe|http://ajee-journal.com|https://paperity.org/rss/?q=journal_pid:338659|2663-0583, 2663-0575|VD Dakor|civil procedure reforms;justice research;judiciary reforms
Accessus|http://scholarworks.wmich.edu/accessus/|https://paperity.org/rss/?q=journal_pid:89702|-|Western Michigan University|-
Acción Psicológica|http://e-spacio.uned.es/revistasuned/index.php/accionpsicologica|https://paperity.org/rss/?q=journal_pid:37269|2255-1271, 1578-908X|Servicio de Psicología Aplicada (UNED)|clinical psychology;educational psychology;developmental psychology;social psychology;neuropsychology
Accounting|http://growingscience.com/ac/ac.html|https://paperity.org/rss/?q=journal_pid:162895|2369-7407, 2369-7393|Growing Science|cost accounting;financial engineering;revenue management;JIT accounting;enterprise resource planning
Accounting Analysis Journal|http://journal.unnes.ac.id/sju/index.php/aaj|https://paperity.org/rss/?q=journal_pid:103409|2252-6765|Universitas Negeri Semarang|financial accounting;auditing;accounting information systems;management accounting;taxation;public sector accounting
Accounting and Financial Control|https://businessperspectives.org/journals/j-accounting-and-financial-control?category_id=30|https://paperity.org/rss/?q=journal_pid:518497|2544-1450, 2543-5485|LLC “Consulting Publishing Company “Business Perspectives” |national accounting standards;accounting and auditing;economic and financial analysis;international financial reporting standards;international accounting standards
Accreditation and Quality Assurance|https://link.springer.com/journal/769|https://paperity.org/rss/?q=journal_pid:230003|1432-0517|Springer Berlin Heidelberg|Accreditation and Quality Assurance, Analytical Chemistry, Food Science, Biochemistry, general, Commercial Law, Ecotoxicology, Marketing
ACDI: Anuario Colombiano de Derecho Internacional|http://revistas.urosario.edu.co/index.php/acdi|https://paperity.org/rss/?q=journal_pid:299486|2145-4493, 2027-1131|Universidad del Rosario|international law
Aceh International Journal of Science and Technology|http://jurnal.unsyiah.ac.id/AIJST|https://paperity.org/rss/?q=journal_pid:128476|2088-9860|Syiah Kuala University|engineering;natural sciences;physics;environmental sciences;chemistry;geology
Açıköğretim Uygulamaları ve Araştırmaları Dergisi|https://dergipark.org.tr/en/pub/auad|https://paperity.org/rss/?q=journal_pid:160402|2149-2360|-|-
ACIMED|http://scielo.sld.cu/scielo.php?script=sci_serial&pid=1024-9435&lng=en|https://paperity.org/rss/?q=journal_pid:241907|1024-9435, 1561-2880|-|-
Acoustical Physics|https://link.springer.com/journal/11441|https://paperity.org/rss/?q=journal_pid:234438|-|Pleiades Publishing|Acoustical Physics, Acoustics
Acoustics Australia|https://link.springer.com/journal/40857|https://paperity.org/rss/?q=journal_pid:162975|1839-2571|Springer Singapore|Acoustics Australia, Engineering Acoustics, Acoustics, Noise Control
Acque Sotterranee|http://www.acquesotterranee.online/|https://paperity.org/rss/?q=journal_pid:261072|2280-6458, 1828-454X|PAGEPress Publications|groundwater;hydrogeochemistry;water resource management;hydrogeophysics;geothermal energy production
ACS Central Science|http://pubs.acs.org/journal/acscii|https://paperity.org/rss/?q=journal_pid:166380|2374-7951|American Chemical Society|chemistry
ACS Chemical Neuroscience|https://www.ncbi.nlm.nih.gov/pubmed/|https://paperity.org/rss/?q=journal_pid:195133|1948-7193|American Chemical Society|-
ACS Medicinal Chemistry Letters|https://www.ncbi.nlm.nih.gov/pubmed/|https://paperity.org/rss/?q=journal_pid:223886|1948-5875|American Chemical Society|-
Acta Agriculturae Serbica|http://scindeks.ceon.rs/journalDetails.aspx?issn=0354-9542&lang=en|https://paperity.org/rss/?q=journal_pid:290772|2560-3140, 0354-9542|University of Kragujevac, Faculty of Agronomy, Cacak|agronomy;biotechnology;food technology
Acta Agriculturae Slovenica|http://ojs.aas.bf.uni-lj.si/index.php/AAS/index|https://paperity.org/rss/?q=journal_pid:232052|1854-1941, 1581-9175|University of Ljubljana, Biotechnical Faculty|plant production;animal production;food technology;genetics and plant breeding;economics and rural development;ecology and environment
Acta Agrobotanica|https://pbsociety.org.pl/journals/index.php/aa/index|https://paperity.org/rss/?q=journal_pid:31218|0065-0951|Polish Botanical Society|crops;weeds;urban plants;melliferous plants;nectar;pollination
Acta Agronómica|http://www.revistas.unal.edu.co/index.php/acta_agronomica/index|https://paperity.org/rss/?q=journal_pid:252008|0120-2812|Universidad Nacional de Colombia|crop protection;ecosystem services;animal science;crop breeding;food science;soil science
Acta Agrophysica|http://www.old.acta-agrophysica.org/pl/informacje_ogolne.html?link=general|https://paperity.org/rss/?q=journal_pid:59971|1234-4125|-|-
Acta Alimentaria Polonica|http://knoziz.pan.pl/|https://paperity.org/rss/?q=journal_pid:146230|0137-1495|-|-
Acta Amazonica|http://www.scielo.br/scielo.php/script_sci_serial/pid_0044-5967/lng_en/nrm_iso/lng_en|https://paperity.org/rss/?q=journal_pid:125078|0044-5967, 1809-4392|Instituto Nacional de Pesquisas da Amazônia|floristics;the Amazon;botany;agronomy;forest science;zoology
Acta Analytica|https://link.springer.com/journal/12136|https://paperity.org/rss/?q=journal_pid:176932|0353-5150|Springer Netherlands|Acta Analytica, Philosophy, general, Logic, Metaphysics, Epistemology, Philosophy of Mind
ACTA Apicola Brasilica|http://www.gvaa.com.br/revista/index.php/APB/index|https://paperity.org/rss/?q=journal_pid:465589|2358-2375|Grupo Verde de Agroecologia e Abelhas (GVAA)|bee;apiculture;biodiversity
Acta Applicandae Mathematicae|https://link.springer.com/journal/10440|https://paperity.org/rss/?q=journal_pid:139576|1572-9036|Springer Netherlands|Acta Applicandae Mathematicae, Computational Mathematics and Numerical Analysis, Applications of Mathematics, Partial Differential Equations, Probability Theory and Stochastic Processes, Calculus of Variations and Optimal Control
Acta Aquatica Turcica|http://dergipark.gov.tr/actaquatr |https://paperity.org/rss/?q=journal_pid:107109|2651-5474|Isparta University of Applied Sciences|aquaculture;limnology;fish processing technology
Acta Archaeologica Lodziensia|http://czasopisma.ltn.lodz.pl/Acta-Archaeologica-Lodziensia|https://paperity.org/rss/?q=journal_pid:228966|0065-0986|Łódzkie Towarzystwo Naukowe, Stowarzyszenie|-
Acta Asiatica Varsoviensia|http://www.iksio.pan.pl/index.php?option=com_content&view=category&id=40&Itemid=57&lang=pl|https://paperity.org/rss/?q=journal_pid:261242|0860-6102|Instytut Kultur Śródziemnomorskich i Orientalnych PAN|-
Acta Baltica Historiae et Philosophiae Scientiarum|http://www.bahps.org/acta-baltica|https://paperity.org/rss/?q=journal_pid:164178|2228-2017, 2228-2009|Estonian Association of the History and Philosophy of Science|history of science;philosophy of science;Baltic states
Acta Baltico-Slavica|http://ispan.waw.pl/journals/index.php/abs/index|https://paperity.org/rss/?q=journal_pid:56604|2392-2389|Institute of Slavic Studies, Polish Academy of Sciences|language contact;multilingualism;Balto-Slavic borderland;multiculturalism
Acta Bio-Optica et Informatica Medica. Inżynieria Biomedyczna|http://www.inzynieria-biomedyczna.com/|https://paperity.org/rss/?q=journal_pid:53237|1234-5563|-|-
Acta bioethica|http://www.actabioethica.uchile.cl/|https://paperity.org/rss/?q=journal_pid:197869|1726-569X|Universidad de Chile|bioethics
Acta Biologica|http://yadda.icm.edu.pl/yadda/element/bwmeta1.element.agro-cc882918-9ebc-4e88-a2d3-e8dbbf2ddded|https://paperity.org/rss/?q=journal_pid:114110|2450-8330|-|-
Acta Biológica Colombiana|http://www.revistas.unal.edu.co/index.php/actabiol|https://paperity.org/rss/?q=journal_pid:18617|0120-548X|Universidad Nacional de Colombia|biological sciences
Acta Biologica Cracoviensia. Series Botanica|http://www.ib.uj.edu.pl/nauka/wydawnictwa/acta-biologica-cracoviensia-series-botanica|https://paperity.org/rss/?q=journal_pid:142863|0001-5296|-|-
Acta Biologica Hungarica|https://link.springer.com/journal/42977|https://paperity.org/rss/?q=journal_pid:502463|0236-5383, 1588-256X|Springer International Publishing|Life Sciences, general
Acta Biologica Sibirica|http://journal.asu.ru/index.php/biol|https://paperity.org/rss/?q=journal_pid:58310|2412-1908|Altay State University|biogeography;floristics;faunistics;nature concervation;systematic boiology
Acta Biologica Turcica|https://dergipark.org.tr/en/pub/actabiotr|https://paperity.org/rss/?q=journal_pid:222395|2458-7893|-|-
Acta Biomaterialia Odontologica Scandinavica|https://www.tandfonline.com/toc/iabo21/current|https://paperity.org/rss/?q=journal_pid:19248|2333-7931|Taylor & Francis Group|dentistry;orthodontics;oral biomaterials
Acta Biomedica Scientifica|http://actabiomedica.ru/en/|https://paperity.org/rss/?q=journal_pid:232912|2587-9596, 2541-9420|Scientific Сentre for Family Health and Human Reproduction Problems|medicine;biomedicine
Acta bioquímica clínica latinoamericana|http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0325-2957&lng=en|https://paperity.org/rss/?q=journal_pid:13433|0325-2957, 1851-6114|-|-
Acta Biotheoretica|https://link.springer.com/journal/10441|https://paperity.org/rss/?q=journal_pid:93773|1572-8358|Springer Netherlands|Acta Biotheoretica, Philosophy of Biology, Evolutionary Biology
Acta Botanica Brasilica|http://www.scielo.br/scielo.php/script_sci_serial/lng_pt/pid_0102-3306/nrm_iso|https://paperity.org/rss/?q=journal_pid:153831|0102-3306, 1677-941X|Sociedade Botânica do Brasil|biological sciences;floristics;biology
Acta botánica mexicana|http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0187-7151&lng=en|https://paperity.org/rss/?q=journal_pid:148914|2448-7589, 0187-7151|-|-
Acta Botánica Venezuelica|http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0084-5906&lng=en|https://paperity.org/rss/?q=journal_pid:49187|0084-5906|-|-
Acta Cardiologica Sinica|https://www.ncbi.nlm.nih.gov/pubmed/|https://paperity.org/rss/?q=journal_pid:76754|1011-6842|Taiwan Society of Cardiology|-
Acta Cassubiana|http://bazhum.muzhp.pl/czasopismo/474/|https://paperity.org/rss/?q=journal_pid:129943|1509-5703|Instytut Kaszubski|-
Acta Chimica Slovenica|http://acta.chem-soc.si/|https://paperity.org/rss/?q=journal_pid:456608|1580-3155, 1318-0207|Slovenian Chemical Society|chemistry
